a 啊
mwld 没来
mwle 没了
mwlj 霉烂
mwlm 没脸
mwlu 煤炉
mwmc 眉毛
mwmd 漫无目的
mwmf 没门
mwmg 美梦
mwmj 美满
mwmk 美名
mwml 没完没了
mwmn 美妙
mwmu 眉目
mwmw 妹妹
mwng 没能
mwnm 每年
mwnv 美女
mwpm 每篇
mwpo 媒婆
mwpu 没谱
mwqi 煤气
mwqm 没钱
mwqn 勉为其难
mwqq 煤球
mwqr 没权
mwqu 没去
mwrf 每人
mwri 每日
mwrj 美髯
mwrs 美容
mwru 美乳
mwry 渺无人烟
mwse 美色
mwsi 没死
mwsu 媚俗
mwti 媒体
mwtj 煤炭
mwtk 没听
mwtm 每天
mwtn 每条
mwtu 美图
mwtv 美腿
mwtx 茫无头绪
mwtz 眉头
mwua 没啥
mwuc 眉梢
mwug 美声
mwui 没事
mwuj 眉山
mwuo 没说
mwuu 美术
mwuv 没睡
mwva 煤渣
mwve 没辙
mwvi 每只
mwvs 每种
mwvy 没准
mwwd 媚外
mwwj 每晚
mwww 美味
mwwf 目无王法
mwxi 没戏
mwxk 眉心
mwxn 媚笑
mwxq 没羞
mwxt 美学
mwxs 面无血色
mwyc 没要
mwye 每页
mwyh 每样
mwyi 美意
mwyr 美元
mwys 没用
mwyt 每月
mwyu 美誉
mwyx 渺无音信
mwyz 没有
mwzi 妹子
mwzv 目无尊长
mxdc 没想到
mxge 墨西哥
mxgi 墨西哥城
mxhx 满心欢喜
mxiv 梦想成真
mxkg 铭心刻骨
mxmf 没心没肺
mxpm 明信片
mxqu 没兴趣
mxqk 没心情
mxrf 某些人
mxui 每小时
mxuh 母系社会
mxvh 明细账
mxvd 明修栈道
mxwx 名下无虚
mxwl 面向未来
mxxg 毛细血管
mxyz 莫须有
mxyl 木秀于林
mxyx 命悬一线
mxzi 慢性子
mxzw 扪心自问
mymo 摸一摸
mymr 某月某日
mymf 没有免费的午餐
mybu 每一步
mybw 没有把握
myby 没有必要
mybf 没有办法
mybt 没有不透风的墙
mybs 没有不散的筵席
mybh 贸易保护
mybl 贸易壁垒
mybd 绵延不断
myci 每一次
mydm 慢一点
mydr 每一段
mydh 没有的话
myff 每一份
myfm 某一方面
myft 民怨沸腾
myge 每一个
mygs 磨洋工
mygr 每一个人
mygj 没有规矩不成方圆
mygz 每一个字
myia 母夜叉
myis 满园春色
myiv 木已成舟
myjm 没意见
myjh 每一句话
myjj 美言几句
myke 每一刻
myle 没有了
myly 没有理由
mylu 沐浴露
myli 免疫力
mylv 妙语连珠
mynm 每一年
myns 面有难色
myni 贸易逆差
mypd 慢一拍
mypi 卖淫嫖娼
myql 谬以千里
myqy 民营企业
myqf 明月清风
myrf 明眼人
mysi 没意思
mysh 名扬四海
mysy 买一送一
mytm 每一天
mytx 名扬天下
myuh 名义上
myuw 民以食为天
myui 贸易顺差
myvs 每一种
myww 每一位
mywt 没有问题
mywl 贸易往来
myxl 每一项
myyz 慢悠悠
myyy 没有意义
myzo 牡羊座
mzbu 某部
mzci 某次
mzds 毛泽东
mzdi 某地
mzeg 满载而归
mzfj 谋反
mzgj 满足感
mzge 某个
mzgl 蒙在鼓里
mzhx 谋划
mzhd 谋害
mziu 某处
mzjm 某件
mzjw 灭自己威风
mzjx 某家
mzle 满足了
mzli 牟利
mzlt 谋略
mzme 没怎么
mzmm 谋面
mzmz 某某
mzmw 没滋没味
mznm 某年
mznj 某男
mznv 某女
mzph 满嘴跑火车
mzqq 谋求
mzqu 牟取
mzrf 某人
mzri 某日
mzsi 谋私
mztm 某天
mzua 谋杀
mzug 谋生
mzui 谋士
mzvs 某种
mzvg 弥足珍贵
mzvi 谋职
mzww 某位
mzxq 某些
mzyt 某月
mzyu 名噪一时
mzzi 眸子
nabf 那本
nabh 那帮
nabm 那边
naci 那次
nacv 纳粹
nadc 拿到
nadm 那点
nadr 那段
naer 那儿
naff 那份
nage 那个
nagj 哪敢
nagw 拿给
nahc 那好
nahd 那还
nahj 呐喊
nahv 拿回
naiu 拿出
najm 那件
najn 那叫
najq 那届
najq 那就
najx 那家
nake 那可
nakd 拿开
nakk 那块
nald 拿来
nali 那里
name 那么
namf 纳闷
nami 纳米
namo 南无
nang 哪能
nanm 那年
nanq 拿捏
napa 哪怕
napi 那批
napm 那篇
naqi 拿起
naqq 纳妾
naqu 拿去
narf 那人
naru 纳入
nasi 那厮
natc 那套
natd 那台
natm 那天
natn 那条
naui 那时
nauv 纳税
nauz 拿手
nave 拿着
navh 那张
navi 哪知
navs 那种
nawj 那晚
naww 那位
naxq 那些
naxx 拿下
naxk 那行
nayh 那样
nayz 哪有
nazz 拿走
nber 诺贝尔
nbej 诺贝尔奖
nbgo 拗不过
nkhc 您好
nbhh 牛逼哄哄
nbhu 牛不喝水强按头
nbhj 捏把汗
nbig 难不成
nbiu 拿不出手
nbjq 那不就
nbju 那不就是
nbke 怒不可遏
nblu 鸟不拉屎
nbmb 弄不明白
nbqi 弄不清楚
nbng 能不能
nbnv 女扮男装
nbqq 南半球
nbrw 你不仁我不义
nbui 那不是
nbvu 耐不住
nbvy 拿不准
nbzi 牛鼻子
ncbu 脑部
nccj 脑残
ncdd 脑袋
ncde 闹得
ncfj 闹翻
ncgv 闹鬼
ncgx 脑瓜
ncgj 脑干
nchd 脑海
nchf 恼恨
ncho 恼火
nchz 脑后
nciu 闹出
ncjk 脑筋
ncju 闹剧
ncjl 闹僵
ncke 脑壳
ncle 弄错了
ncli 脑力
nclk 闹铃
nclu 瑙鲁
ncmf 脑门
ncmo 脑膜
ncnu 恼怒
ncnm 男才女貌
ncqj 难辞其咎
ncrf 恼人
ncsv 脑髓
ncso 男厕所
nctg 闹腾
nctz 挠头
ncui 闹事
ncvs 闹钟
ncve 闹着
ncxk 闹心
ncxt 怒从心头起
ncyh 挠痒
nczi 脑子
ndbo 脑电波
ndby 那倒不一定
nddh 男大当婚
nddj 女大当嫁
ndff 奶粉
ndfj 耐烦
ndhe 奈何
ndhj 耐寒
ndho 耐火
ndht 难得糊涂
ndia 奶茶
ndjq 耐久
ndjy 年代久远
ndkj 耐看
ndli 耐力
ndlc 奶酪
ndma 奶妈
ndmo 耐磨
ndnd 奶奶
ndni 男盗女娼
ndnl 奶娘
ndnq 奶牛
ndqf 拿得起放得下
ndrj 那当然
ndre 耐热
ndrl 那当然了
ndth 奶糖
ndtz 奶头
ndui 乃是
ndub 女大十八变
nduj 那段时间
nduo 难道说
nduv 奶水
ndvi 乃至
ndvg 尿毒症
ndvu 耐得住
ndvy 拿定主意
ndxk 耐心
ndxk 耐性
ndxi 奶昔
ndxu 牛刀小试
ndys 耐用
ndyj 难得一见
ndyz 奶油
ndyu 那倒也是
ndzv 奶嘴
ndzi 奶子
nedz 男儿当自强
nexx 男儿膝下有黄金
neva 哪吒
neyl 男儿有泪不轻弹
nfbd 嫩白
nfcc 嫩草
nfig 怒发冲冠
nflv 嫩绿
nflq 年富力强
nfmm 哪方面
nfnf 嫩嫩
nfnj 难分难解
nfrz 嫩肉
nfyn 年复一年
ngds 能动
ngdu 年高德劭
ngbb 年过半百
ngfz 能否
ngfg 南国风光
nggz 能够
nggj 能干
nghc 能耗
ngjm 能见
ngli 能力
ngll 能量
ngnd 能耐
ngnv 男耕女织
ngqj 能工巧匠
ngrf 能人
ngtr 哪管他人瓦上霜
ngsu 年过三十
nguo 能说
nguu 牛鬼蛇神
nguw 能歌善舞
nguz 能手
ngxk 能行
ngys 能用
ngyr 能源
ngyz 能有
ngzi 那个字
nhbk 哪壶不开提哪壶
nhdg 霓虹灯
nhld 那还了得
nher 那会儿
nhgx 怒火攻心
nhhs 闹哄哄
nhko 囊括
nhkm 内行看门道
nhnj 男婚女嫁
nhna 男欢女爱
nhqn 奈何桥
nhrc 拈花惹草
nhvs 囊肿
nhvw 呐喊助威
nhvu 怒火中烧
nhyu 那还用说
nhzi 男孩子
niai 溺爱
niba 泥巴
nidi 泥地
nidk 拟定
nifg 逆风
nifj 逆反
nigu 尼姑
nigc 拟稿
nigl 逆光
nihc 你好
nihs 霓虹
niig 昵称
niia 逆差
nijk 逆境
nikg 泥坑
nild 拿出来
nilq 逆流
nils 尼龙
nimf 你们
nimk 匿名
ninj 呢喃
nink 泥泞
niqq 泥鳅
nirs 呢绒
nisu 泥塑
nitj 泥潭
nitm 逆天
nitu 泥土
nitv 逆推
niua 泥沙
niui 逆势
niuv 溺水
nivr 逆转
nivc 泥沼
niwd 腻歪
nixk 逆行
nixl 逆向
nixi 逆袭
njyk 男婴
njai 难捱
njao 难熬
njbw 南北
njbc 难保
njbj 难办
njbm 南边
njbu 南部
njbb 内举不避亲
njde 难得
njda 难打
njdc 难道
njdh 难当
njdk 男丁
njdm 难点
njds 难懂
njdu 难度
njer 男儿
njfh 南方
njfg 南风
njfw 南非
njgc 难搞
njgk 难怪
njgo 难过
njgr 难关
njgs 南宫
njgx 南瓜
njhd 男孩
njhh 南航
njhj 南韩
njih 南昌
njii 难吃
njis 南充
njiu 难处
njiv 弄假成真
njjm 牛角尖
njji 南极
njjk 南京
njjq 难解
njkd 南开
njke 男科
njkj 难看
njli 凝聚力
njle 难了
njlg 尼加拉瓜
njlj 男篮
njlu 南路
njmk 难民
njmd 难买
njmf 南门
njmi 难觅
njmm 难免
njmw 南美
njnd 难耐
njnf 难解难分
njnj 喃喃
njnk 南宁
njnv 男女
njou 南欧
njpd 男排
njpu 男仆
njqq 年纪轻轻
njqr 南拳
njrf 男人
njrj 赧然
njrs 难容
njsl 那就算了
njtm 那几天
njtc 难逃
njti 难题
njtk 难听
njug 男生
njui 男士
njuj 南山
njul 男双
njuo 难说
njuz 难受
njvz 南极洲
njvc 难找
njvj 南站
njvl 男装
njvu 难住
njvy 宁静致远
njwh 难忘
njwa 男娃
njwf 难闻
njww 难为
njxk 男性
njxn 难消
njxt 难学
njxx 南下
njya 南亚
njyh 南洋
njyi 难以
njyj 难言
njys 难用
njyt 南岳
njyu 难于
njyz 男友
njzi 男子
njzo 难做
njdx 南京大学
nkbo 宁波
nkdx 南开大学
nkgu 凝固
nkju 凝聚
nkjk 拧紧
nkjk 宁静
nkjq 凝结
nkke 宁可
nkkf 宁肯
nkkd 拧开
nklm 凝练
nkmg 柠檬
nkrx 囊空如洗
nksh 囊括四海
nkui 凝视
nkuf 凝神
nkvs 凝重
nkvi 凝滞
nkwh 凝望
nkwy 扭亏为盈
nkxx 宁夏
nkxn 狞笑
nkxq 宁可信其有
nkyr 宁愿
nkym 南柯一梦
nlbw 南来北往
nleu 逆流而上
nlig 酿成
nliu 酿出
nljx 娘家
nljq 酿酒
nljm 拿了鸡毛当令箭
nlkn 哪凉快哪呆着去
nllv 年利率
nllu 年老力衰
nlld 脑力劳动
nlmf 娘们
nlmi 酿蜜
nlnq 捏了捏
nlnl 娘娘
nlnt 挠了挠头
nlqk 娘亲
nlsu 年老色衰
nltd 娘胎
nltr 年老体弱
nltu 年老体衰
nluu 逆来顺受
nlvi 酿制
nlvb 女流之辈
nlvn 牛郎织女
nlyb 捏了一把汗
nlzi 娘子
nlzc 酿造
nmbc 年报
nmbn 年表
nmby 纳米比亚
nmco 念错
nmdo 那么多
nmdc 念叨
nmdd 年代
nmdi 年底
nmdu 年度
nmdn 那么多年
nmdr 那么多人
nmeu 怒目而视
nmff 年份
nmfo 念佛
nmfu 黏附
nmfw 年费
nmgu 内蒙古
nmgc 年糕
nmgz 内蒙古自治区
nmgr 年关
nmhc 年号
nmhe 黏合
nmho 年货
nmhk 蔫坏
nmhu 那么回事
nmhv 年会
nmhx 年华
nmhz 年后
nmif 脑满肠肥
nmij 年产
nmiu 年初
nmiz 黏稠
nmjk 年仅
nmji 年纪
nmjk 念经
nmjm 年检
nmjq 念旧
nmjx 年假
nmjy 年均
nmlk 年龄
nmlc 年老
nmli 年利
nmly 年轮
nmmd 年迈
nmmj 年满
nmmo 年末
nmnw 年内
nmnm 年年
nmpu 年谱
nmqk 年轻
nmqi 年期
nmqm 年前
nmss 念诵
nmsv 年岁
nmtr 年迈体弱
nmtu 黏土
nmtz 念头
nmuc 年少
nmuf 年审
nmuu 念书
nmui 农贸市场
nmvz 南美洲
nmvc 浓墨重彩
nmvh 年长
nmvs 年终
vjvi 粘滞
nmxk 年薪
nmxi 年息
nmxk 黏性
nmxl 念想
nmxm 年限
nmyt 年月
nmya 碾压
nmye 黏液
nmyu 鲇鱼
nmyz 年幼
nmzi 脑门子
nnsr 尿酸
nnbu 尿布
nnbw 念念不忘
nnbu 哪能不湿鞋
nndc 尿道
nndj 鸟蛋
nndp 男女搭配
nner 鸟儿
nnhu 尿壶
nnic 鸟巢
nnil 尿床
nnji 尿急
nnjm 尿检
nnkj 鸟瞰
nnkg 难能可贵
nnlw 鸟类
nnls 鸟笼
nnly 男女老幼
nnlu 男女老少
nnmk 鸟鸣
nnnn 尿尿
nnno 袅娜
nnpk 尿频
nnpd 男女平等
nnql 鸟枪
nnqt 鸟雀
nnrf 鸟人
nnrh 泥牛入海
nnsu 尿素
nnss 年年岁岁
nnth 尿糖
nnti 鸟啼
nntz 鸟头
nntt 袅袅婷婷
nnuu 男女授受不亲
nnwh 能奈我何
nnyu 鸟语
nnye 尿液
nnyc 念念有词
nnyi 尿意
nnyy 年年有余
nnzv 鸟嘴
nnzy 喃喃自语
nods 挪动
nofu 懦夫
noiu 挪出
nomi 糯米
noro 懦弱
noww 挪威
nowo 挪窝
noyi 挪移
noyj 诺言
noys 挪用
nqgf 孽根
nqhe 啮合
nqiu 孽畜
nqig 捏成
npjc 女怕嫁错郎
nply 拿破仑
nqpj 涅槃
npqi 牛脾气
nqru 嗫嚅
nprc 男怕入错行
nqsv 捏碎
npsg 泥菩萨过河
npui 哪怕是
nqvd 孽债
nqvh 孽障
nqvs 孽种
nqvu 捏住
npvi 牛皮纸
npxr 牛皮癣
npyz 男朋友
nqzc 捏造
nqzi 镊子
nqai 纽埃
nqbi 牛逼
nqbd 南腔北调
nqbv 怒其不争
nqdd 纽带
nqda 扭打
nqdc 牛刀
nqds 扭动
nqdu 牛犊
nqdy 牛顿
nqer 牛耳
nqff 牛粪
nqgu 牛股
nqgo 扭过
nqhx 年轻化
nqhl 牛黄
nqhp 鸟枪换炮
nqie 牛车
nqii 怒气冲冲
nqit 怒气冲天
nqiv 弄巧成拙
nqjk 牛津
nqjn 牛角
nqkv 扭亏
nqkz 纽扣
nqle 哪去了
nqlh 牛郎
nqlv 年轻力壮
nqma 牛马
nqmc 牛毛
nqmy 浓情蜜意
nqnd 牛奶
nqni 忸怩
nqnj 牛腩
nqnq 扭捏
nqnu 能屈能伸
nqpi 牛皮
nqpd 牛排
nqpg 牛棚
nqpv 拈轻怕重
nqqi 牛气
nqqu 扭曲
nqqy 牛群
nqrf 牛人
nqrz 牛肉
nqss 扭送
nqtz 扭头
nqui 牛市
nquf 扭身
nquh 扭伤
nqvr 扭转
nqve 扭着
nqvu 扭住
nqwl 宁缺毋滥
nqyt 纽约
nqyk 牛饮
nqyh 牛羊
nqyw 年轻有为
nqzd 牛仔
nrds 暖冬
nrer 尼日尔
nrfg 暖风
nrho 暖和
nrhu 暖壶
nrjd 拿人家的手软
nrlq 暖流
nrlu 暖炉
nrly 尼日利亚
nrmm 牛肉面
nrnr 暖暖
nrpk 暖瓶
nrqi 暖气
nrse 暖色
nrsb 能人所不能
nrww 暖胃
nrxw 耐人寻味
nryi 暖意
nryh 暖阳
nsbq 宁死不屈
nscy 农村
nsco 弄错
nsdj 浓淡
nsdm 弄点
nsdk 纳斯达克
nsdr 弄断
nsds 弄懂
nsdu 浓度
nsfj 弄饭
nsfu 农夫
nshc 弄好
nshh 农行
nshk 弄坏
nsho 农活
nshz 浓厚
nsig 弄成
nsih 农场
nsia 浓茶
nsij 农产
nsiu 弄出
nsiz 浓稠
nsiy 浓醇
nsif 弄臣
nsil 脓疮
nsic 拈酸吃醋
nsjx 农家
nsli 农历
nslf 南斯拉夫
nslq 浓烈
nslr 弄乱
nsmk 农民
nsmh 农忙
nsmi 浓密
nsmd 泥塑木雕
nsns 浓浓
nsqk 弄清
nsso 浓缩
nssi 弄死
nstm 农田
nsvl 浓妆
nswh 你死我活
nsyc 农药
nsye 农业
nsyu 浓郁
nsyj 浓烟
nszh 弄脏
ntbd 牛头不对马嘴
ntdd 虐待
ntdg 脑体倒挂
ntji 疟疾
ntmm 牛头马面
ntua 虐杀
nubi 奴婢
nucd 奴才
nufh 怒放
nuho 怒火
nuhc 怒号
nuhd 能说会道
nuhe 怒喝
nuhx 拿手好戏
nuhz 怒吼
nuii 怒斥
nujn 难上加难
nujx 泥沙俱下
nuli 努力
nulq 泥石流
numa 怒骂
numu 怒目
nunf 难舍难分
nunx 能上能下
nunj 蹑手蹑脚
nupu 奴仆
nuqi 怒气
nuqd 南沙群岛
nuqk 年少轻狂
nurf 纳税人
nurs 怒容
nusj 鸟兽散
nuse 怒色
nuui 怒视
nuvf 逆时针
nuwv 年少无知
nuxk 奴性
nuxv 逆水行舟
nuyi 奴役
nuyw 年少有为
nuzu 怒族
nuzv 努嘴
nvbj 女伴
nvbk 女兵
nvbv 南征北战
nvbw 宁折不弯
nvbh 难者不会
nvce 女厕
nvdc 哪知道
nvdh 脑震荡
nvdl 能者多劳
nvdm 浓妆淡抹
nver 女儿
nvfh 女方
nvgs 女工
nvgv 女鬼
nvhd 女孩
nvhl 女皇
nvjk 女警
nvjr 女眷
nvjl 年终奖
nvjm 拿着鸡毛当令箭
nvlh 女郎
nvlj 女篮
nvlq 女流
nvnu 女奴
nvpu 女仆
nvpd 女排
nvqr 女权
nvqj 闹中取静
nvqk 扭转乾坤
nvrf 女人
nvse 女色
nvts 女童
nvug 女生
nvuf 女神
nvui 女士
nvul 女双
nvuv 能征善战
nvvl 女装
nvvw 囊中之物
nvwh 女王
nvwa 女娃
nvwd 你争我夺
nvwg 你追我赶
nvwv 你知我知
nvwu 女巫
nvxk 女性
nvxs 囊中羞涩
nvxu 女婿
nvxx 女侠
nvyu 乃至于
nvyc 女妖
nvyk 女婴
nvyb 捏着一把汗
nvym 浓妆艳抹
nvys 女佣
nvyz 女友
nvzi 女子
nvzu 女足
nwtv 内退
nwtd 内胎
nwui 内饰
nwbu 内部
nwbi 内壁
nwce 内测
nwcy 内存
nwcj 内参
nwcg 内层
nwdi 内地
nwdj 内胆
nwdk 内定
nwgs 内功
nwge 内阁
nwgj 内外勾结
nwgv 内鬼
nwhj 内涵
nwhc 内耗
nwhe 内核
nwhh 内行
nwhs 内讧
nwjq 内疚
nwji 内急
nwjk 内径
nwjm 内奸
nwjn 内角
nwjx 内外兼修
nwke 内科
nwks 内控
nwku 内裤
nwlc 内涝
nwli 内力
nwlr 内乱
nwlu 内陆
nwlm 内敛
nwmu 内幕
nwma 内码
nwmg 内蒙
nwnw 能文能武
nwqk 内勤
nwqm 内嵌
nwrs 内容
nwue 内设
nwuh 内伤
nwuw 鸟为食亡
nwvc 内招
nwvd 内债
nwvg 内政
nwvi 内置
nwvj 内战
nwvs 内中
nwvw 逆我者亡
nwwd 内外
nwwh 内网
nwwu 内务
nwxk 内心
nwxl 内向
nwxm 内线
nwxn 内销
nwxq 内秀
nwxu 内需
nwyi 内衣
nwyk 内因
nwyk 内应
nwys 宁为玉碎
nwyy 内蕴
nwzd 内在
nwzh 内脏
nxbc 脑细胞
nxdb 内心独白
nxge 那些个
nxhx 男性化
nxhz 宁夏回族自治区
nxin 恼羞成怒
nxlj 纽西兰
nxnd 难兄难弟
nxui 内心深处
nxys 怒形于色
nxzi 那小子
nxzj 弄虚作假
nxzu 纳西族
nybh 捏一把汗
nybv 南辕北辙
nybx 奴颜婢膝
nycx 匿影藏形
nydh 那样的话
nydx 农业大学
nyge 哪一个
nygg 浓烟滚滚
nyri 年月日
nygx 年逾古稀
nyhx 鸟语花香
nyin 那一刹那
nyif 弄月嘲风
nyjr 娘要嫁人
nymg 奴颜媚骨
nymx 讷言敏行
nyub 能言善辩
nyuq 难于上青天
nyvs 哪一种
nyvx 难以置信
nyvy 难言之隐
nyww 哪一位
nywh 内忧外患
nywj 难以为继
nyxt 脑溢血
nyxx 难以想象
nyxy 难以下咽
nyyh 农业银行
nyyx 囊萤映雪
nzli 脑子里
nzbh 脑子不好使
nzhj 男子汉
nzhd 男子汉大丈夫
nzku 牛仔裤
nzny 男左女右
nznb 男尊女卑
nzty 挪作他用
nzux 泥足深陷
nzwu 农作物
nzzz 念兹在兹
odsl 藕断丝连
ogti 欧共体
opke 欧佩克
orxk 偶然性
ouda 殴打
oude 偶得
ouer 偶尔
ouff 藕粉
oufa 偶发
ouge 讴歌
ougj 偶感
oumg 欧盟
oumu 欧姆
oumw 欧美
oupm 藕片
ouqi 怄气
ourj 偶然
ousi 藕丝
outu 呕吐
ouuu 偶数
ouui 欧式
ouvz 欧洲
ouxl 偶像
ouxt 呕血
ouya 欧亚
ouyh 欧阳
ouyr 欧元
ouyu 偶遇
oxlx 呕心沥血
padc 爬到
paeq 拍案而起
pago 爬过
pahw 怕黑
pais 爬虫
paiu 爬出
pajj 拍案叫绝
pale 怕了
palc 帕劳
papa 啪啪
papo 爬坡
paqi 爬起
paqq 扒窃
parf 怕人
pasi 怕死
paui 怕是
paug 怕生
pauh 爬上
pauj 爬山
pauu 爬树
pauz 扒手
pave 趴着
pawu 平安无事
paxx 趴下
paxk 爬行
paxq 怕羞
payh 怕痒
payy 偏安一隅
pazd 趴在
pbbk 疲惫不堪
pkbo 拼搏
pbbv 排兵布阵
pkcz 拼凑
pkci 频次
pkdc 频道
pkde 品德
pkdr 频段
pbdn 平板电脑
pkdu 频度
pbdy 迫不得已
pbel 扑鼻而来
pkfa 贫乏
pkfj 频繁
pkfu 贫富
pkfw 嫔妃
pbgu 皮包骨
pkge 品格
pkhj 贫寒
pkhe 拼合
pkih 品尝
pkia 品茶
pkig 拼成
pbij 拍板成交
pkir 频传
pkjq 拼接
pkji 贫瘠
pbjd 迫不及待
pbjj 贫病交加
pkjm 贫贱
pkju 姘居
pkku 贫苦
pkky 贫困
pklv 频率
pkle 拼了
pkli 聘礼
pblm 跑不了庙
pkmk 拼命
pkmk 贫民
pkmc 品貌
pbpa 怕不怕
pkpk 频频
pkpd 品牌
pbpl 漂不漂亮
pkpj 拼盘
pkpk 品评
pkqs 贫穷
pkqi 聘期
pkql 拼抢
pkqk 聘请
pbqy 平步青云
pkrf 聘任
pksi 拼死
pksg 贫僧
pktu 拼图
pktz 姘头
pbui 赔不是
pkua 拼杀
pbuh 蓬荜生辉
pkuu 聘书
pkvi 品质
pkvl 拼装
pkvs 品种
pkww 品味
pbwg 平白无故
pkxk 品行
pkxl 品相
pkxq 拼写
pkxt 贫血
pbxu 蓬勃向上
pkyk 拼音
pbyi 喷薄欲出
pkys 聘用
pkzv 贫嘴
pkzi 拼字
pcba 泡吧
pcbk 炮兵
pcbm 跑遍
pcbu 跑步
pccd 泡菜
pcdc 跑到
pcdj 炮弹
pcds 跑动
pcfj 泡饭
pcgl 抛光
pcho 炮火
pchs 炮轰
pcie 跑车
pciu 抛出
pcjk 跑进
pcjn 泡椒
pcji 炮击
pcjm 炮舰
pcjq 泡酒
pckd 抛开
pcks 抛空
pckz 炮口
pcku 跑酷
pcle 跑了
pcld 跑来
pcli 抛离
pclu 跑路
pcmo 泡沫
pcma 跑马
pcmc 抛锚
pcmm 泡面
pcnq 泡妞
pcpc 泡泡
pcpj 抛盘
pcpn 跑票
pcps 骗财骗色
pcqi 抛弃
pcqt 抛却
pcqu 跑去
pcsa 抛洒
pctv 跑腿
pcta 炮塔
pctd 炮台
pcth 泡汤
pcti 跑题
pctk 炮艇
pcuz 抛售
pcug 炮声
pcvi 炮制
pcve 跑着
pcvf 疱疹
pcvh 炮仗
pcvj 炮战
pcwu 抛物
pcwh 泡网
pcxn 咆哮
pcxq 跑鞋
pcyk 泡影
pcyj 炮眼
pczd 泡在
pczc 泡澡
pczi 袍子
pddu 排毒
pdan 拍案
pdbj 排版
pdbi 排比
pdbk 派兵
pdbm 牌匾
pdbq 派别
pdda 拍打
pddc 派到
pddh 拍档
pddk 排定
pddv 排队
pdfa 派发
pdfh 排放
pdfb 平地风波
pdgu 排骨
pdhh 排行
pdhk 徘徊
pdia 排查
pdih 排场
pdii 排斥
pdiu 排除
pdji 排挤
pdjn 庖丁解牛
pdjq 排解
pdjq 牌九
pdju 牌局
pdjx 牌价
pdks 排空
pdlq 排列
pdld 派来
pdlm 排练
pdll 排量
pdlh 跑得了和尚
pdlr 排卵
pdlw 排雷
pdli 判断力
pdla 潘多拉
pdmk 排名
pdmd 拍卖
pdnn 排尿
pdpd 拍拍
pdpm 拍片
pdqm 派遣
pdqi 排气
pdqq 排球
pdqu 派去
pdrf 派人
pdru 排入
pdss 派送
pdtz 派头
pdta 排他
pdto 拍拖
pduv 排水
pdue 拍摄
pdug 派生
pduh 派上
pduz 拍手
pdve 排着
pdvc 拍照
pdvh 排长
pdvr 拍砖
pdvu 派驻
pdww 排位
pdwd 排外
pdwj 拍完
pdwq 平淡无奇
pdwu 排污
pdxi 拍戏
pdxm 排险
pdxq 排泄
pdxu 排序
pdxx 拍下
pdyr 派员
pdzd 排在
pdzi 牌子
pehl 破而后立
pfbk 皮肤病
pfdi 盆地
pfdx 捧腹大笑
pffa 喷发
pffj 喷饭
pffh 贫富分化
pfgr 喷灌
pfho 喷火
pfhv 喷绘
pfhu 蚍蜉撼树
pfiu 喷出
pfiv 破釜沉舟
pfij 贫富差距
pfjk 盆景
pfjm 喷溅
pfke 皮肤科
pfmi 平方米
pfmj 泼妇骂街
pfmo 喷墨
pfqr 喷泉
pfqi 喷气
pfqs 平分秋色
pfsa 喷洒
pfti 喷嚏
pftu 喷涂
pftz 喷头
pfue 喷射
pfuv 喷水
pfvv 颇费周折
pfvx 平反昭雪
pfvy 匹夫之勇
pfwz 匹夫无罪
pfxt 喷血
pfxl 喷香
pfys 喷涌
pfyc 喷药
pfyu 盆浴
pfzd 盆栽
pfzi 盆子
pfzv 喷嘴
pfyh 浦发银行
pgbi 碰壁
pgbo 蓬勃
pgbw 捧杯
pgci 碰瓷
pgcj 盘根错节
pgdc 碰到
pgdh 朋党
pgdn 碰掉
pgfj 碰翻
pgfu 捧腹
pggf 捧哏
pgih 捧场
pgiu 碰触
pgjm 碰见
pgji 抨击
pgld 蓬莱
pglr 蓬乱
pgmm 碰面
pgnl 屁滚尿流
pgpd 澎湃
pgpu 破罐破摔
pgqn 碰巧
pgqi 捧起
pgrf 烹饪
pgrj 怦然
pgss 蓬松
pgsv 碰碎
pgtn 烹调
pgtz 碰头
pgua 捧杀
pguh 碰上
pgve 捧着
pgvh 膨胀
pgvi 烹制
pgvl 碰撞
pgvq 旁观者清
pgwd 刨根问底
pgyz 朋友
pgyk 蒲公英
pgzp 破罐子破摔
phbh 排行榜
phbd 旁白
phbm 旁边
phbo 磅礴
phce 旁侧
phda 庞大
phdy 胖墩
phdm 平衡点
phgr 旁观
phgl 膀胱
phhu 胖乎乎
phhl 彷徨
phlt 炮火连天
phmu 平衡木
phmf 旁门
phph 胖胖
phrf 旁人
phtk 旁听
phto 滂沱
phvg 旁证
phvi 旁支
phxk 破坏性
phxq 螃蟹
phza 庞杂
phzi 胖子
phlo 旁落
piao 皮袄
pibc 皮包
pibm 皮鞭
pibo 批驳
pibw 疲惫
pici 批次
pidd 皮带
pidi 匹敌
pidj 皮蛋
pidz 批斗
pifa 批发
pifg 披风
pifu 皮肤
pigu 屁股
pigd 批改
pige 皮革
pigx 披挂
pihc 癖好
pihx 屁话
pihz 皮厚
piia 劈叉
piid 劈柴
piii 皮尺
pijk 皮筋
pijk 僻静
pijm 披肩
pijq 啤酒
pijr 疲倦
piju 皮具
pijx 皮夹
pikd 劈开
pill 批量
pilk 毗邻
